year,GDP,Consumer Price Index,Unemployment rate (Percent),Inflation rate,Real interest rate (%),Temperature (High),Temperature (low),Precipitation
2010,366990528103.08,100,5.1,13.7,1.067736064,34.65,20.71,1229.91
2011,414466540786.74,110.8261372,6,10.8,5.685579859,34.32,20.23,995.16
2012,463971000388.61,124.3737916,10.6,12.2,6.224808614,33.81,20.31,1253.78
2013,520117163617.72,134.93999,10,8.5,11.20162222,34.34,20.3,1020.83
2014,574183825592.36,145.7991654,7.8,8,11.35621303,34.23,20.58,1127.39
2015,493026782401.56,158.9348464,9,9.00943498,13.59615325,33.72,20.16,982.08
2016,404649048648.03,183.8825515,13.4,15.69681264,6.686233617,34.3,20.73,1290.3
2017,375745732274.68,214.2273396,17.5,16.50226621,5.790566873,33.84,20.21,1163.17
2018,421739210176.15,240.1383645,22.6,12.09510652,6.055977154,33.84,20.19,1268.45
2019,474517470742.75,267.5055467,10.7,11.39642234,4.522188497,33.52,20.18,1363.03
2020,432198936002.18,302.9393941,,13.24602343,5.371280212,33.63,20.25,1276.33
2021,440833583992.49,354.2962423,,16.95284572,1.227718531,34.38,20.17,1080.73
2022,477386120635.85,421.0711203,,18.84718778,0.919231895,,,
