<<<<<<< HEAD
year,product,total_sales
2010,Milk,13569
2010,Bread,1356.76
2010,Eggs,13468.45
2011,Milk,12246.76
2011,Bread,11807.83
2011,Eggs,306.13
2012,Milk,9894.67
2012,Bread,13497.33
2012,Eggs,1035.11
2013,Milk,940.30
2013,Bread,5318.08
2013,Eggs,12768.50
2014,Milk,15000.00
2014,Bread,8000.00
2014,Eggs,12000.00
2015,Milk,18000.00
2015,Bread,6000.00
2015,Eggs,15000.00
2016,Milk,20000.00
2016,Bread,5000.00
2016,Eggs,18000.00
2017,Milk,22000.00
2017,Bread,4000.00
2017,Eggs,20000.00
2018,Milk,25000.00
2018,Bread,3000.00
2018,Eggs,22000.00
2019,Milk,28000.00
2019,Bread,2000.00
2019,Eggs,25000.00
2020,Milk,30000.00
2020,Bread,1000.00
2020,Eggs,28000.00
2021,Milk,32000.00
2021,Bread,500.00
2021,Eggs,30000.00
2022,Milk,35000.00
2022,Bread,200.00
=======
year,product,total_sales
2010,Milk,13569
2010,Bread,1356.76
2010,Eggs,13468.45
2011,Milk,12246.76
2011,Bread,11807.83
2011,Eggs,306.13
2012,Milk,9894.67
2012,Bread,13497.33
2012,Eggs,1035.11
2013,Milk,940.30
2013,Bread,5318.08
2013,Eggs,12768.50
2014,Milk,15000.00
2014,Bread,8000.00
2014,Eggs,12000.00
2015,Milk,18000.00
2015,Bread,6000.00
2015,Eggs,15000.00
2016,Milk,20000.00
2016,Bread,5000.00
2016,Eggs,18000.00
2017,Milk,22000.00
2017,Bread,4000.00
2017,Eggs,20000.00
2018,Milk,25000.00
2018,Bread,3000.00
2018,Eggs,22000.00
2019,Milk,28000.00
2019,Bread,2000.00
2019,Eggs,25000.00
2020,Milk,30000.00
2020,Bread,1000.00
2020,Eggs,28000.00
2021,Milk,32000.00
2021,Bread,500.00
2021,Eggs,30000.00
2022,Milk,35000.00
2022,Bread,200.00
>>>>>>> 79b9658ccc23aa8723f2d829bae8c11527986fee
2022,Eggs,32000.00
